Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
271,2016-12-04,DET,@,NOR,W 28-13,Matt Prater\PratMa20,52,Y,N
272,2016-12-04,CIN,,PHI,W 32-14,Mike Nugent\nugenmik01,32,Y,N
273,2016-12-04,BAL,,MIA,W 38-6,Justin Tucker\TuckJu00,55,Y,N
274,2016-12-04,PIT,,NYG,W 24-14,Randy Bullock\BullRa00,44,Y,N
275,2016-12-04,DEN,@,JAX,W 20-10,Brandon McManus\McMaBr01,32,Y,N
276,2016-12-04,WAS,@,ARI,L 23-31,Dustin Hopkins\HopkDu00,20,Y,N
277,2016-12-04,SEA,,CAR,W 40-7,Steven Hauschka\HausSt00,23,Y,N
278,2016-12-04,DET,@,NOR,W 28-13,Matt Prater\PratMa20,29,Y,N
279,2016-12-04,BUF,@,OAK,L 24-38,Dan Carpenter\CarpDa44,27,Y,N
280,2016-12-04,ATL,,KAN,L 28-29,Matt Bryant\bryanmat01,59,Y,N
281,2016-12-04,CIN,,PHI,W 32-14,Mike Nugent\nugenmik01,26,Y,N
282,2016-12-04,SFO,@,CHI,L 6-26,Phil Dawson\dawsophi01,28,Y,N
283,2016-12-04,PIT,,NYG,W 24-14,Randy Bullock\BullRa00,38,Y,N
284,2016-12-04,TAM,@,SDG,W 28-21,Roberto Aguayo\AguaRo00,27,Y,N
285,2016-12-04,OAK,,BUF,W 38-24,Sebastian Janikowski\janikseb01,41,Y,N
286,2016-12-04,NWE,,LAR,W 26-10,Stephen Gostkowski\GostSt20,48,Y,N
287,2016-12-04,SEA,,CAR,W 40-7,Steven Hauschka\HausSt00,31,Y,N
288,2016-12-04,ARI,,WAS,W 31-23,Chandler Catanzaro\CataCh00,28,Y,N
289,2016-12-04,DET,@,NOR,W 28-13,Matt Prater\PratMa20,27,Y,N
290,2016-12-04,NOR,,DET,L 13-28,Wil Lutz\LutzWi00,32,Y,N
291,2016-12-04,SDG,,TAM,L 21-28,Josh Lambo\LambJo00,53,N,N
292,2016-12-04,MIA,@,BAL,L 6-38,Andrew Franks\FranAn01,46,N,N
293,2016-12-04,WAS,@,ARI,L 23-31,Dustin Hopkins\HopkDu00,47,Y,N
294,2016-12-04,PHI,@,CIN,L 14-32,Caleb Sturgis\SturCa00,51,N,N
295,2016-12-04,DET,@,NOR,W 28-13,Matt Prater\PratMa20,27,Y,N
296,2016-12-04,NWE,,LAR,W 26-10,Stephen Gostkowski\GostSt20,45,Y,N
297,2016-12-04,LAR,@,NWE,L 10-26,Greg Zuerlein\ZuerGr00,44,Y,N
298,2016-12-04,ATL,,KAN,L 28-29,Matt Bryant\bryanmat01,22,Y,N
299,2016-12-04,JAX,,DEN,L 10-20,Jason Myers\MyerJa00,47,Y,N
300,2016-12-04,CIN,,PHI,W 32-14,Mike Nugent\nugenmik01,33,Y,N
301,2016-12-04,SFO,@,CHI,L 6-26,Phil Dawson\dawsophi01,31,Y,N
302,2016-12-04,PIT,,NYG,W 24-14,Randy Bullock\BullRa00,34,Y,N
303,2016-12-04,TAM,@,SDG,W 28-21,Roberto Aguayo\AguaRo00,31,N,N
304,2016-12-04,OAK,,BUF,W 38-24,Sebastian Janikowski\janikseb01,47,Y,N
305,2016-12-04,NWE,,LAR,W 26-10,Stephen Gostkowski\GostSt20,28,Y,N
306,2016-12-04,DEN,@,JAX,W 20-10,Brandon McManus\McMaBr01,41,Y,N
307,2016-12-04,WAS,@,ARI,L 23-31,Dustin Hopkins\HopkDu00,53,Y,N
308,2016-12-04,SEA,,CAR,W 40-7,Steven Hauschka\HausSt00,37,Y,N
309,2016-12-04,DET,@,NOR,W 28-13,Matt Prater\PratMa20,32,Y,N
310,2016-12-04,NOR,,DET,L 13-28,Wil Lutz\LutzWi00,40,Y,N
311,2016-12-01,DAL,@,MIN,W 17-15,Dan Bailey\BailDa00,39,Y,N
312,2016-12-01,MIN,,DAL,L 15-17,Kai Forbath\ForbKa00,36,Y,N
313,2016-12-01,MIN,,DAL,L 15-17,Kai Forbath\ForbKa00,48,Y,N
314,2016-12-01,MIN,,DAL,L 15-17,Kai Forbath\ForbKa00,33,Y,N
315,2016-11-28,PHI,,GNB,L 13-27,Caleb Sturgis\SturCa00,50,Y,N
316,2016-11-28,GNB,@,PHI,W 27-13,Mason Crosby\CrosMa20,33,Y,N
317,2016-11-28,PHI,,GNB,L 13-27,Caleb Sturgis\SturCa00,48,Y,N
318,2016-11-28,GNB,@,PHI,W 27-13,Mason Crosby\CrosMa20,32,Y,N
319,2016-11-27,KAN,@,DEN,W 30-27,Cairo Santos\SantCa01,37,Y,N
320,2016-11-27,SDG,@,HOU,W 21-13,Josh Lambo\LambJo00,54,N,N
321,2016-11-27,NWE,@,NYJ,W 22-17,Stephen Gostkowski\GostSt20,39,N,N
322,2016-11-27,DEN,,KAN,L 27-30,Brandon McManus\McMaBr01,44,Y,N
323,2016-11-27,MIA,,SFO,W 31-24,Andrew Franks\FranAn01,24,Y,N
324,2016-11-27,NYJ,,NWE,L 17-22,Nick Folk\FolkNi20,54,N,Y
325,2016-11-27,TEN,@,CHI,W 27-21,Ryan Succop\SuccRy44,31,Y,N
326,2016-11-27,HOU,,SDG,L 13-21,Nick Novak\novaknic01,19,Y,N
327,2016-11-27,SFO,@,MIA,L 24-31,Phil Dawson\dawsophi01,36,Y,N
328,2016-11-27,TAM,,SEA,W 14-5,Roberto Aguayo\AguaRo00,48,N,N
329,2016-11-27,OAK,,CAR,W 35-32,Sebastian Janikowski\janikseb01,23,Y,N
330,2016-11-27,NWE,@,NYJ,W 22-17,Stephen Gostkowski\GostSt20,41,Y,N
331,2016-11-27,ARI,@,ATL,L 19-38,Chandler Catanzaro\CataCh00,25,Y,N
332,2016-11-27,BAL,,CIN,W 19-14,Justin Tucker\TuckJu00,57,Y,N
333,2016-11-27,NWE,@,NYJ,W 22-17,Stephen Gostkowski\GostSt20,28,Y,N
334,2016-11-27,DEN,,KAN,L 27-30,Brandon McManus\McMaBr01,33,Y,N
335,2016-11-27,NYJ,,NWE,L 17-22,Nick Folk\FolkNi20,51,Y,N
336,2016-11-27,TEN,@,CHI,W 27-21,Ryan Succop\SuccRy44,19,Y,N
337,2016-11-27,ATL,,ARI,W 38-19,Matt Bryant\bryanmat01,45,Y,N
338,2016-11-27,CIN,@,BAL,L 14-19,Mike Nugent\nugenmik01,36,Y,N
339,2016-11-27,BAL,,CIN,W 19-14,Justin Tucker\TuckJu00,36,Y,N
340,2016-11-27,CLE,,NYG,L 13-27,Cody Parkey\ParkCo03,25,Y,N
