"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"193",193,193,"12/18/16","Dan Bailey\BailDa00",38,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"194",194,194,"12/17/16","Nick Folk\FolkNi20",48,"Y","N","Home",0.871,34,9,33.97,0.813,"NOT DOME"
"195",195,195,"12/17/16","Nick Folk\FolkNi20",36,"Y","N","Home",0.871,34,9,33.97,0.813,"NOT DOME"
"196",196,196,"12/15/16","Greg Zuerlein\ZuerGr00",36,"Y","N","Away",0.864,35,4,38.68,0.799,"NOT DOME"
"197",197,197,"12/15/16","Steven Hauschka\HausSt00",48,"Y","N","Home",0.892,35,9,34.14,0.868,"NOT DOME"
"198",198,198,"12/12/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,75,4,41.95,0.899,"NOT DOME"
"199",199,199,"12/12/16","Justin Tucker\TuckJu00",50,"Y","N","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"200",200,200,"12/12/16","Justin Tucker\TuckJu00",37,"Y","N","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"201",201,201,"12/12/16","Justin Tucker\TuckJu00",34,"N","Y","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"202",202,202,"12/11/16","Nick Novak\novaknic01",52,"Y","N","Away",0.854,33,9,36.78,0.828,"NOT DOME"
"203",203,203,"12/11/16","Jason Myers\MyerJa00",55,"Y","N","Home",0.794,65,1,42.82,0.824,"DOME"
"204",204,204,"12/11/16","Phil Dawson\dawsophi01",44,"N","N","Home",0.857,66,18,40.33,0.844,"NOT DOME"
"205",205,205,"12/11/16","Chris Boswell\BoswCh00",37,"Y","N","Away",0.84,53,1,40.64,0.877,"NOT DOME"
"206",206,206,"12/11/16","Graham Gano\GanoGr44",44,"Y","N","Home",0.789,24,7,40.61,0.8,"NOT DOME"
"207",207,207,"12/11/16","Adam Vinatieri\vinatada01",55,"N","N","Home",0.871,42,20,43.16,0.842,"NOT DOME"
"208",208,208,"12/11/16","Robbie Gould\gouldrob01",39,"Y","N","Home",1,65,11,36.3,0.859,"DOME"
"209",209,209,"12/11/16","Kai Forbath\ForbKa00",32,"Y","N","Away",1,30,5,34.33,0.87,"NOT DOME"
"210",210,210,"12/11/16","Wil Lutz\LutzWi00",42,"Y","N","Away",0.824,66,0,37.53,0.842,"NOT DOME"
"211",211,211,"12/11/16","Mason Crosby\CrosMa20",38,"Y","N","Home",0.867,75,9,35.4,0.804,"NOT DOME"
